code,dispensing_patients
C82103,1937
C82105,0
C82107,0
C82108,0
C82109,3428
C82111,0
C82112,0
C82114,0
C82116,0
C82119,0
C82120,0
C82121,0
C82122,0
C82123,1133
C82124,0
C82600,0
C82610,0
C82611,0
C82614,0
C82620,0
C82623,0
C82624,0
C82626,0
C82627,0
C82628,0
C82631,0
C82634,0
C82639,0
C82642,0
C82643,0
C82644,0
C82649,3253
C82650,0
C82651,0
C82653,0
C82656,0
C82657,0
C82659,0
C82660,0
C82662,0
C82663,0
C82667,0
C82669,0
C82670,0
C82671,0
C82676,0
C82678,0
C82680,0
C83001,0
C83002,1606
C83003,2467
C83004,0
C83005,3826
C83006,1083
C83007,4647
C83008,0
C83009,0
C83010,0
C83011,2066
C83013,1889
C83014,0
C83015,3135
C83016,0
C83017,4086
C83018,0
C83019,1485
C83020,8682
C83021,0
C83022,2627
C83023,4001
C83024,3238
C83025,0
C83026,7151
C83027,2474
C83028,2832
C83029,1142
C83030,4650
C83031,3792
C83032,3443
C83033,3221
C83035,3786
C83036,4867
C83037,3159
C83038,2949
C83039,5150
C83040,0
C83041,0
C83042,5289
C83043,4738
C83044,0
C83045,2628
C83046,0
C83047,0
C83048,0
C83049,6374
C83051,0
C83052,3180
C83053,2357
C83054,4021
C83055,5155
C83056,2869
C83057,1249
C83058,0
C83059,0
C83060,0
C83061,5089
C83062,1814
C83063,6071
C83064,0
C83065,2344
C83067,5389
C83068,876
C83071,0
C83072,0
C83073,0
C83074,3386
C83075,0
C83078,0
C83079,0
C83080,0
C83082,0
C83083,2845
C83085,1919
C83605,1893
C83611,5924
C83613,2360
C83614,2648
C83617,1743
C83626,0
C83628,872
C83631,560
C83633,1316
C83634,856
C83635,3076
C83637,0
C83641,2604
C83643,2266
C83649,4098
C83650,3506
C83652,0
C83653,1455
C84001,0
C84002,0
C84003,0
C84004,0
C84005,1272
C84008,2752
C84009,0
C84010,0
C84011,0
C84012,0
C84013,0
C84014,0
C84016,0
C84017,7238
C84018,0
C84019,0
C84020,0
C84021,0
C84023,0
C84024,0
C84025,5631
C84026,0
C84028,0
C84029,0
C84030,0
C84031,0
C84032,284
C84033,0
C84034,0
C84035,0
C84036,0
C84037,0
C84039,0
C84042,0
C84043,0
C84044,0
C84045,2449
C84046,0
C84047,2296
C84048,2744
C84049,4909
C84051,0
C84052,6066
C84053,0
C84055,0
C84057,0
C84059,0
C84060,0
C84061,0
C84063,0
C84064,0
C84065,0
C84066,0
C84067,0
C84069,0
C84072,0
C84074,0
C84076,0
C84077,0
C84078,0
C84080,0
C84081,0
C84084,0
C84085,0
C84086,0
C84087,0
C84090,0
C84091,0
C84092,0
C84094,0
C84095,0
C84096,0
C84101,1556
C84103,0
C84104,0
C84105,0
C84106,0
C84107,0
C84112,0
C84113,0
C84114,0
C84115,0
C84116,0
C84117,0
C84120,0
C84122,0
C84123,0
